name,salary_from,salary_to,currency,city,link,discription
персональный водитель,60000,,RUR,Псков,https://hh.ru/vacancy/111322239,Подбираю персональого <highlighttext>водителя</highlighttext> на Vip и business -автомобили. - кроме отличного управления автомобилем и содержания его в идельном состоянии <highlighttext>водителю</highlighttext> необходимо...
водитель в офис строительной компании,60000,,RUR,Екатеринбург,https://hh.ru/vacancy/111437518,обеспечение безопасности и комфортного передвижения пассажиров по г. Екатеринбургу (руководители и специалисты компании). - рабочие поездки по Свердловской области (не чаще...
водитель легкового автомобиля,60000,,RUR,Набережные Челны,https://hh.ru/vacancy/111288569,Выполнение распоряжений и поручений непосредственного руководителя. Контролировать техническое и эстетическое состояние а/м. Перевозить работников организации.
водитель-экспедитор,70000,110000,RUR,Липецк,https://hh.ru/vacancy/111310882,Доставка строительных материалов клиентам по Липецку и Липецкой области. Осуществление погрузочно-разгрузочных работ. Топливные карты. Соблюдение условий перевозки вверенного груза. 
водитель легкового автомобиля,130000,135000,RUR,Новокузнецк,https://hh.ru/vacancy/111418840,Перевозка заказчика на территории месторождения. Обеспечение исправного состояния техники. Соблюдение ПДД.
водитель на развозку,48600,51900,RUR,Ярославль,https://hh.ru/vacancy/111534571,Карта <highlighttext>водителя</highlighttext> СКЗИ.
водитель-экспедитор,55000,120000,RUR,Волгоград,https://hh.ru/vacancy/111549169,Организация погрузочно-разгрузочных работ. Транспортировка и доставка товара по городу и области. Организация приёмки товара со склада согласно товарно-сопроводительных...
водитель категория е по городу,80000,130000,RUR,Омск,https://hh.ru/vacancy/111553927,
водитель-экспедитор на личном транспорте,72000,,RUR,Москва,https://hh.ru/vacancy/109224114,"Получение, доставка печатной продукции по магазинам(Пятёрочка, Лента, Магнолия), приём товара по количеству, оформление документов, сдача возврата. <highlighttext>Водителя</highlighttext>- экспедитора с..."
водитель на автомобиль организации,70000,,RUR,Новосибирск,https://hh.ru/vacancy/111060271,"Доставка техники в ремонтную зону от клиента и обратно. - Доставка новой техники клиенту по г. Новосибирск + пригород, иногда область. - "
водитель-экспедитор,70000,,RUR,Ижевск,https://hh.ru/vacancy/111214872,"Разработка маршрута следования. Получение и проверка ТМЦ к перевозке, согласно накладным. Сдача ТМЦ согласно накладной. Проведение мелкого ремонта автомобиля. "
водитель-экспедитор,65000,75000,RUR,Чебоксары,https://hh.ru/vacancy/111300118,Управление служебным автомобилем. Оформление путевых листов. Перемещение груза в складском комплекте. Контроль за техническим состоянием техники. Размещение ТМЦ на складе...
водитель,70000,,RUR,Нижний Новгород,https://hh.ru/vacancy/111208390,"Доставка материалов для производства на а\м Газель. Командировки в Москву, Иваново. Заполнение путевых листов."
"водитель-международник рб-рф, категория с",1800,2500,BYR,Брест,https://hh.ru/vacancy/111425757,Доставка грузов по маршруту РБ-РФ-РБ( IVECO DAILY до 6т тент/изотерма). Контроль технического состояния грузового автомобиля(мелкий...
персональный (личный) водитель,74500,74500,RUR,Санкт-Петербург,https://hh.ru/vacancy/111341067,"Управление автомобилем компании, Lexus NX300 (предоставляется). Выполнение поручений руководителя."
водитель,150000,400000,RUR,Москва,https://hh.ru/vacancy/111456711,"Авто полностью обслужены, дафы автомат, холодильники шмидт."
водитель-экспедитор автомобиля (транспорт от компании: легковой автомобиль/минивен),120000,,RUR,Москва,https://hh.ru/vacancy/110248333,Забор товара на складе и доставка до клиентов. Загрузка товара в автомобиль и выгрузка у клиента.
семейный водитель,70000,80000,RUR,Санкт-Петербург,https://hh.ru/vacancy/111327434,Вождение автомобиля класса VIP. Выполнение поставленных задач.
семейный водитель (мосфильмовская),120000,130000,RUR,Москва,https://hh.ru/vacancy/111352633,"...исправном состоянии, мойки, ТО, закупки, стандартные обязанности <highlighttext>водителя</highlighttext>. Есть в семье еще два <highlighttext>водителя</highlighttext>, всегда можно обговорить отпуск и тд."
водитель самосвала,90000,,RUR,Красноярск,https://hh.ru/vacancy/111392987,"В дорожную организацию требуется <highlighttext>водитель</highlighttext> самосвала на перевозку снега, грунта, асфальта, щебня, песка."
водитель-экспедитор,,2500,BYR,Минск,https://hh.ru/vacancy/111255145,Работа на грузовом автомобиле. Загрузка машины товаром на складе компании. Доставка/выгрузка и сдача товара по торговым объектам по РБ. 
водитель-экспедитор,3000,3600,BYR,Минск,https://hh.ru/vacancy/109728506,Развоз продуктов по торговым объектам г.Минска.
"водитель категории b,с",100000,100000,RUR,Набережные Челны,https://hh.ru/vacancy/111526253,"На производственное предприятие требуется <highlighttext>водитель</highlighttext> категории В,С с короткими поездками межгород."
водитель-экспедитор категории b,2600,2800,BYR,Минск,https://hh.ru/vacancy/108966933,
водитель,2500,,BYR,Минск,https://hh.ru/vacancy/109727640,
водитель категории с,110000,130000,RUR,Казань,https://hh.ru/vacancy/111194370,Машины новые КамАЗ Компас-12.
водитель-экспедитор,65000,,RUR,Тюмень,https://hh.ru/vacancy/111299128,Безопасное вождение. Основная работа по городу. Иные поручения руководителя. Поддерживать чистоту и аккуратный внешний вид автомобиля.
личный водитель,,80000,RUR,Санкт-Петербург,https://hh.ru/vacancy/111337957,"Развозка детей на своем автомобиле в школу (м. Озерки), детский сад, дополнительные занятия. Выполнение личных поручений на своем авто (магазины..."
водитель погрузчика (4-5 разряд)( на 6 месяцев),3500,,BYR,Минск,https://hh.ru/vacancy/111520256,"Выполнение погрузочно-разгрузочных работ на погрузчике (ричтраке). Перестановка, разукомплектование товаров, формирование поддонов."
водитель автомобиля,90000,,RUR,Санкт-Петербург,https://hh.ru/vacancy/110637374,Управление вверенным автомобилем «скорой медицинской помощи». Выполнение неотложных служебных заданий при движении на вызов скорой помощи и при транспортировке больного.
водитель легкового автомобиля,70000,70000,RUR,Петрозаводск,https://hh.ru/vacancy/111258535,Деловые поездки в интересах организации по регионам центральной части и средней полосы России. Соблюдение ПДД.
водитель-экспедитор категории «се»,200000,,RUR,Москва,https://hh.ru/vacancy/111421094,Грузовые перевозки по территории РФ на новые автомобили произв. Китай (термос).
водитель вилочного погрузчика,2500,,BYR,Минск,https://hh.ru/vacancy/109455728,Управление погрузчиками при выполнении погрузочно-разгрузочных работ ( дизельные). Погрузка готовых изделий (косметическая продукция) на автомашины . Размещение готовой продукции на складах. 
водитель персональный,60000,60000,RUR,Казань,https://hh.ru/vacancy/111347773,Подача автомобиля в назначенное время утром и вечером. В течение рабочего дня поездки с сотрудниками компании по городу. Доставка документации. 
водитель легкового автомобиля,120000,,RUR,Иркутск,https://hh.ru/vacancy/111468362,Перевозка заказчика на территории месторождения. Обеспечение исправного состояния техники. Соблюдение ПДД.
водитель,140000,,RUR,Москва,https://hh.ru/vacancy/111522419,Транспортировка документов между офисами компании и до клиентов компании. Транспортировка мелких комплектующих до клиентов компании. Перевозка сотрудников между офисами компании. 
персональный водитель,100000,,RUR,Санкт-Петербург,https://hh.ru/vacancy/102699226,"Подача автомобиля в точно назначенное время. Выполнение поручений работодателя. Обслуживание автомобиля (обеспечение ухода за автомобилем, контроль за техническим состоянием и..."
водитель express ( категория в ),185000,225000,RUR,Санкт-Петербург,https://hh.ru/vacancy/109813732,...автомобиль компании#водитель-курьер#водитель в офис#водитель такси#водитель еженедельные выплаты#водитель погрузчика#водитель на легковой автомобиль#водитель категории Б#водитель категории В# <highlighttext>водитель</highlighttext> в распределительный центр.
персональный водитель руководителя,120000,,RUR,Москва,https://hh.ru/vacancy/110811825,"Развоз руководителя по рабочим и личным делам. - Исполнения личных поручений руководителя (забрать/отвезти документы, посылки и тд). - ⁠Встреча / проводы гостей..."
водитель категории в,65000,,RUR,Омск,https://hh.ru/vacancy/111288896,Осуществление перевозки пива по г. Омску и Омской области. Работа в паре с экспедитором.
"водитель ""в""",350,500,BYR,Гродно,https://hh.ru/vacancy/111584707,
водитель-экспедитор в,80000,130000,RUR,Санкт-Петербург,https://hh.ru/vacancy/111599066,Доставка и экспедирование алкогольной продукции по магазинам СПб и ЛО. Разгрузка товара в торговые точки. Аккуратное вождение и соблюдение сроков...
водитель-экспедитор,2700,3900,BYR,Минск,https://hh.ru/vacancy/109273155,помогать выгрузить на борт.  контролировать процесс загрузки.  отвечать за сохранность груза при перевозке.  вовремя доставлять строительные материалы.  работать с кассовым...
водитель-снабженец,85000,,RUR,Краснодар,https://hh.ru/vacancy/111169090,"Выполнение служебных поручений руководителя, связанных с текущей деятельностью предприятия. Снабжение предприятия расходными и строительными материалами. Прием заявок и своевременная доставка..."
водитель погрузчика,85000,,RUR,Санкт-Петербург,https://hh.ru/vacancy/111303508,Управлять погрузочно-разгрузочной техникой. Обеспечивать бесперебойную работу и сохранность продукции при погрузочно-разгрузочных работах.
водитель,1750,,BYR,Брест,https://hh.ru/vacancy/111348812,Получение товара на складе по товарно-сопроводительным документам (ТСД). Доставка товара по г. Бресту. Погрузочно-разгрузочные работы. Содержание транспортного средства...
водитель-экспедитор категории в,90000,,RUR,Краснодар,https://hh.ru/vacancy/111413752,Качественная и своевременная доставка продуктов питания. Прием/сдача товара. Работа с сопроводительными документами.
личный водитель,80000,120000,RUR,Казань,https://hh.ru/vacancy/110466450,Транспортировка руководителя по рабочим встречвм в пределах города. Поддержание автомобиля в чистоте. Обеспечение безопасности и комфорта во время поездок.
водитель,150000,400000,RUR,Смоленск,https://hh.ru/vacancy/111456712,"Авто полностью обслужены, дафы автомат, холодильники шмидт."
личный водитель руководителя,50000,65000,RUR,Новосибирск,https://hh.ru/vacancy/111479883,"Безопасно и комфортно перевозить руководителя предприятия и лиц которых он укажет. Выполнять личные задания руководителя (отвезти, передать, встретить и т..."
водитель-экспедитор,2500,3500,BYR,Молодечно,https://hh.ru/vacancy/111114116,"Обязанности: международные грузоперевозки (СНГ), перецепы на ТЛЦ, внутренние грузоперевозки (РБ)."
водитель-экспедитор,80000,100000,RUR,Тюмень,https://hh.ru/vacancy/111295574,"Развозка и экспедирование товара до клиентов по Тюмени и Тюменской области. (составление маршрута, контроль укладки груза в авто, контроль правильности..."
"водитель категории в,с",45000,150000,RUR,Иркутск,https://hh.ru/vacancy/111323236,"Управлять транспортными средствами категории B,С (доставка сотрудников, товарно-материальных ценностей). Выезжать в командировки по Иркутской области и ближайшим регионам. "
водитель категории е,,272000,RUR,Санкт-Петербург,https://hh.ru/vacancy/111419211,Подарочный набор новичкам от компании. Доставка товаров между объектами компании.
водитель,45000,,RUR,Липецк,https://hh.ru/vacancy/111425221,Своевременная подача автомобиля и доставка работников офиса до места назначения. Составление оптимального маршрута движения. Обеспечение безопасного и комфортного передвижения. 
водитель легкового автомобиля,65000,,RUR,Кропоткин,https://hh.ru/vacancy/111525239,Качественная и своевременная перевозка работников предприятия. Своевременное обслуживание автомобиля. Бережная эксплуатация транспорта.
водитель погрузчика,97104,,RUR,Санкт-Петербург,https://hh.ru/vacancy/111528336,"Выставка кирпича на поддонах по маркам на складе готовой продукции. - погрузка автомобилей. - участие в ремонте закрепленной техники, ежедневное обслуживание."
персональный водитель руководителя,180000,200000,RUR,Москва,https://hh.ru/vacancy/110146502,Подача автомобиля. Транспортное сопровождение руководителя. Обслуживание автомобиля (ТО). Работа на автомобиле работодателя. Выполнение личных поручений.
водитель,80000,130000,RUR,Челябинск,https://hh.ru/vacancy/111166652,"<highlighttext>Водитель</highlighttext> на Газель. Следить за техническим состоянием автомобиля, производить ежедневное ТО (проверка уровеня масла, тех.жидкостей), своевременное выявление неисправностей. "
водитель семейный,90000,,RUR,Москва,https://hh.ru/vacancy/111247159,"Обязанности: поездки на транспорте работодателя с детьми (школа), а так же поездки по делам хозяйки, встреча-проводы в аэропорт."
водитель на межгород,90000,130000,RUR,Москва,https://hh.ru/vacancy/111402271,"Мы ждем от ваc пoдтвeрждeния нaвыков, тaких кaк разгрузка, погрузка, экспедирование."
водитель,1500,,BYR,Минск,https://hh.ru/vacancy/111509526,"Доставка грузов по точкам в г. Минске (4-8 точек в день). - Встреча утром автомобиля, прибывшего в Минск, выгрузка груза..."
"водитель трала, открытой площадки",3000,9000,BYR,Минск,https://hh.ru/vacancy/111112592,"Перевозка негабаритных грузов, спецтехники и тд. на трале, либо открытых площадках, направление РБ-РФ."
водитель в офис,250000,,KZT,Алматы,https://hh.ru/vacancy/111152258,Исполнение поручений руководителя.
водитель автобуса,140000,200000,RUR,Казань,https://hh.ru/vacancy/111509017,Осуществление управления автобусом. Безопасная перевозка пассажиров на регулярных городских пассажирских маршрутах города Москвы.
cемейный водитель,150000,,RUR,Москва,https://hh.ru/vacancy/110257806,"Работа на автомобилях работодателя. В семье работает несколько <highlighttext>водителей</highlighttext>. Контроль исправности автомобилей. Контроль ТО, взаимодействие с автосервисами и станциями обслуживания..."
семейный водитель,120000,,RUR,Москва,https://hh.ru/vacancy/111159692,Своевременная подача автомобиля и доставка до мест назначения. Составление оптимального маршрута движения с учетом загруженности дорог. Обеспечение безопасного и комфортного...
водитель-экспедитор грузового транспорта (категория с),100000,130000,RUR,Ростов-на-Дону,https://hh.ru/vacancy/111484706,Транспортировка и доставка лекарственных препаратов согласно заявкам клиентов по территориям РФ. Полное оформление документов по маршруту. Следить за техническим состоянием...
водитель на север,345000,350000,RUR,Иркутск,https://hh.ru/vacancy/111612267,Управление тягач SHACMAN/МАЗ самосвал или полуприцеп с бортовой платформой. Мелкосрочный ремонт самостоятельно. Короткие плечи.
водитель-экспедитор (фургон foton toano),60000,80000,RUR,Уфа,https://hh.ru/vacancy/111196022,"Перевозка и своевременная доставка грузов в наши обособленные подразделения. Обеспечение сохранности груза при транспортировке. Работа с сопутствующей документацией (ГСМ, путевые..."
"водитель-экспедитор категории ""в"" на автомобиле компании",80000,,RUR,Екатеринбург,https://hh.ru/vacancy/111240073,"Доставка молочных и мясных продуктов клиентам, согласно маршрутному листу, на автомобиле компании (Екатеринбург, УРФО, Тюмень, Магнитогорск, Новосибирск и др.). "
личный водитель,80000,,RUR,Москва,https://hh.ru/vacancy/111257644,"Ежедневная перевозка собственницы компании на автомобиле собственницы. Перевозка в среднем в 3-4 места за день (офисы, встречи, личные поездки). "
водитель-экспедитор категории в,70000,,RUR,Новосибирск,https://hh.ru/vacancy/111507635,"Доставка грузов в торговые точки Новосибирска, и близлежащих городов . Прием и отгрузка товара по документам."
водитель-экспедитор b,70000,,RUR,Симферополь,https://hh.ru/vacancy/111513993,"Доставка товаров на ПВЗ. - ремонт и обслуживание без участия <highlighttext>водителей</highlighttext>. - Заправки по топливным картам, исключительно на брендовых заправках."
семейный водитель,50000,60000,RUR,Симферополь,https://hh.ru/vacancy/111222817,"Сопровождение членов семьи, сопровождение детей в детский сад и различные спортивные секции.Уход за автомобилем,прохождение своевременного ТО, в течении дня..."
водитель-экспедитор,72000,,RUR,Новоалтайск,https://hh.ru/vacancy/111275115,"Поездки по Алтайскому краю (в основном-Новоалтайск, Бийск, Барнаул), г. Новосибирску, Кемеровской области. Доставка документов, оборудования, комплектующих и т.п."
персональный водитель,80000,,RUR,Иркутск,https://hh.ru/vacancy/107842727,Осуществление поездок с руководителем. Своевременное прохождение техосмотра. Поддержание автомобиля в исправном состоянии. Содержание автомобиля в чистоте. Своевременная подача машины. 
водитель-экспедитор автомобиля,2500,,BYR,Гродно,https://hh.ru/vacancy/110792219,Развоз продуктов питания. Получение тмц.
водитель личный,300000,300000,KZT,Караганда,https://hh.ru/vacancy/110967417,Требуется <highlighttext>водитель</highlighttext> -помощник генерального директора. Выполнение поручений генерального директора. Редкие командировки 2-3 дня. Мелкий ремонт автотранспорта.
личный водитель,58000,68000,RUR,Волгоград,https://hh.ru/vacancy/109262712,Личный <highlighttext>водитель</highlighttext> руководителя. Исполнение личных поручений.
водитель-экспедитор категории в,110000,170000,RUR,Новосибирск,https://hh.ru/vacancy/111022411,
водитель,1300,1600,BYR,Гомель,https://hh.ru/vacancy/111204736,Доставка замерщиков на заказ.
водитель на газель (категории b),75000,,RUR,Екатеринбург,https://hh.ru/vacancy/111312979,Доставка груза по Екатеринбургу и Свердловской области.
водитель автомобиля,65000,65000,RUR,Набережные Челны,https://hh.ru/vacancy/111477627,"Перевозка грузов, оформление документов, погрузочные и разгрузочные работы. Перевозка документов сотрудников. Выполнение поручений руководства."
личный водитель руководителя,90000,,RUR,Москва,https://hh.ru/vacancy/111526440,"Своевременная подача автомобиля и доставка руководителя до мест назначения. Поддержание автомобиля в исправном состоянии, мойка. Своевременное прохождение технического обслуживания в..."
ночной водитель-перегонщик автомобилей в каршеринг belkacar,70000,135000,RUR,Москва,https://hh.ru/vacancy/91632638,Перегон автомобилей на ТО и СТОА. Расстановка новых автомобилей перед выходом на линию в город. Визуальный осмотр автомобиля на предмет...
водитель легкового автомобиля категории в,110000,130000,RUR,Абакан,https://hh.ru/vacancy/111377669,"Перевозка работников (геофизики, геологи), оборудования по месторождению. Содержание Транспортного средства в технически исправном состоянии. Заполнение путевых листов."
семейный водитель (м. аэропорт),120000,,RUR,Москва,https://hh.ru/vacancy/108292491,Деловые и личные поездки руководителя и его семьи по Москве и Московской области (большая часть времени – поездки супруги и трех...
водитель категории в,1500,3000,BYR,Дзержинск (Беларусь),https://hh.ru/vacancy/111271911,Доставка продукции по торговым объектам (РБ).
водитель погрузчика,3000,,BYR,Гомель,https://hh.ru/vacancy/111305014,Выполнение погрузочно-разгрузочных работ. Выполнение разгрузочных работ.
водитель категории в,50000,50000,RUR,Омск,https://hh.ru/vacancy/111312455,Поддержание автомобиля в исправном состоянии. Развоз рабочих на территорию нефтезавода.
водитель междугородных перевозок (газель),100000,110000,RUR,Казань,https://hh.ru/vacancy/111344543,Перевозка груза на малогабаритном авто (Газель типа 3221) по маршруту Москва-Казань-Москва. В неделю работают 3 сменщика и 2...
водитель персональный (из митино),115000,115000,RUR,Москва,https://hh.ru/vacancy/111410046,Персональный <highlighttext>водитель</highlighttext>.
водитель-экспедитор,50000,,RUR,Ижевск,https://hh.ru/vacancy/111412931,Получение товара из терминала транспортной компании. Доставка товара со склада покупателям.
семейный водитель,60000,60000,RUR,Москва,https://hh.ru/vacancy/111493536,Перевозка детей по заданным маршрутам. Обеспечение безопасности и комфорта пассажиров. Поддержание автомобиля в чистоте и исправном состоянии.
водитель на газель,85000,120000,RUR,Томск,https://hh.ru/vacancy/111025468,"Требуется <highlighttext>водитель</highlighttext> на газель(предоставляется). Работа заключается в перевозке грузов по России. Маршрут Сибирь- Москва, Санкт-Петербург. Москва, Санкт-Петербург..."
персональный водитель руководителя,55000,,RUR,Волгоград,https://hh.ru/vacancy/111215495,Выполнение личных поручений руководителя. Своевременная подача автомобиля и обеспечение передвижения руководителя до мест назначения. Планирование оптимального маршрута движения. 
водитель погрузчика,65000,85000,RUR,Красноярск,https://hh.ru/vacancy/111379928,Погрузо-разгрузочные работы на складе.
водитель по междугородним перевозкам,250000,,KZT,Уральск,https://hh.ru/vacancy/111289612,Управление тягачом с полуприцепом. Перевозка различных грузов. Содержание автомобиля в хорошем технически и внешнем состоянии. Знание документации.
водитель экспедитор,60000,,KGS,Бишкек,https://hh.ru/vacancy/111551178,Развоз продукции согласно накладной на реализацию. Знание минирынков и рынков города. Ответственность.
"водитель, категория в",2000,,BYR,Гродно,https://hh.ru/vacancy/110765931,"Работа на грузовом бусе, категория В. Доставка продукции собственного производства по европейской части России."
семейный водитель,120000,,RUR,Санкт-Петербург,https://hh.ru/vacancy/109300083,"Своевременная подача автомобиля. — Сопровождение всех членов семьи, обеспечение безопасности при перевозке детей до кружков и секций. — Обслуживание автомобиля (обеспечение ухода..."
водитель с личным автомобилем,330000,350000,KZT,Астана,https://hh.ru/vacancy/111391537,Своевременная подача транспорта и организация поездки. Обеспечивает безопасность автомобиля для детей при передвижении (оснащение ремнями безопасности) и соблюдение ими соответствующих...
водитель,70000,110000,RUR,Новороссийск,https://hh.ru/vacancy/111603204,"Доставка 19 литровой бутилированной воды по городу Новороссийск. Доставка воды до квартиры,офиса клиента, подъём на этаж , по просьбе клиента..."
водитель автомобиля,2900,2900,BYR,Минск,https://hh.ru/vacancy/105401646,
водитель грузового автомобиля,3500,5000,BYR,Минск,https://hh.ru/vacancy/110043206,"Все обязанности <highlighttext>водителя</highlighttext>, связанные с полным циклом работы грузового автомобиля автобетоносмесителя (миксер) по перевозке бетона от подачи на объект до..."
водитель персональный,60000,90000,RUR,Воронеж,https://hh.ru/vacancy/111062622,Содержание машины в чистоте.
водитель-экспедитор категория в,70000,,RUR,Хабаровск,https://hh.ru/vacancy/111193892,Доставка товара оптовым клиентам (автозапчасти на л/а). Наличие телефона на базе Android (работа с приложением).
водитель-экспедитор,35000,60000,RUR,Ярославль,https://hh.ru/vacancy/111567778,"Автопарк: ГАЗ 32213 (тент, кузов 5,3м). ГАЗ 2310 (тент, кузов 2,4м). Забор груза с ТК и..."
водитель экспедитор категория с,150000,200000,RUR,Москва,https://hh.ru/vacancy/111578334,"Своевременная доставка грузов по МСК, МО и РФ. Оформление сопроводительной документации, своевременная сдача отчетных документов, взаимодействие с офисом."
семейный водитель,100000,100000,RUR,Санкт-Петербург,https://hh.ru/vacancy/111056443,Контроль за техническим состоянием автомобилей.
водитель-курьер на ларгус на доставку запчастей (2/2),60000,,RUR,Екатеринбург,https://hh.ru/vacancy/111229667,"Получение товара на складах поставщиков и доставка до покупателей. Работа с сопроводительными документами, общение с клиентами."
семейный водитель,50000,50000,RUR,Москва,https://hh.ru/vacancy/111573633,Своевременная подача автомобиля. Обеспечение безопасного и комфортного сопровождения руководителя/членов семьи. Выполнение личных поручений руководителя. Мойка/заправка автомобиля. 
водитель категории «в» / водитель техстанции,250000,450000,RUR,Санкт-Петербург,https://hh.ru/vacancy/111340019,"Работа в пределах КАД спб, с редкими выездами в ближайшие пригороды. Аккуратная, безаварийная эксплуатация автомобиля организации. Грамотное взаимодействие с отделом..."
водитель-экспедитор (уфа),90000,105000,RUR,Уфа,https://hh.ru/vacancy/111441622,"Перевозка грузов (мясная продукция). Контроль состояния транспортного средства, осуществление мелкого ремонта при возникновении неисправности в пути следования."
водитель категории в,100000,,RUR,Кемерово,https://hh.ru/vacancy/111509342,"Управление автомобилем УАЗ Патриот, Соболь, Mitsubishi L200(предоставляется). Перевозка людей, грузов (оборудование, запасные части и т.д.) выполнение работ..."
водитель-экспедитор категории в,80000,,RUR,Калининград,https://hh.ru/vacancy/111565898,Доставки продукции (продукты питания) по городу и области.
водитель в ресторан,80000,,RUR,Истра (Московская область),https://hh.ru/vacancy/111505725,"Eжeднeвное прoxoждение мeд. осмотра пеpед сменoй. Рaзвоз пеpсoнaлa. Pазвоз пpодуктoв, xоз тoвaрoв, докумeнтации co склада пo рecторaнaм. Запoлнение путeвыx лиcтов..."
водитель категории в (по городу),55000,,RUR,Рязань,https://hh.ru/vacancy/111511813,"Погрузка, разгрузка товара (автомобильные запчасти). Контроль технического состояния закрепленного ТС. Обеспечение сохранности груза при транспортировке. Своевременная доставка товара."
водитель автобуса для детей,80000,105000,RUR,Москва,https://hh.ru/vacancy/111322642,"Комфортно и безопасно осуществлять перевозку детей на корпоративном микроавтобусе по закрепленным маршрутам. Работа по Московской области, Новорижское шоссе. "
водитель категории в,100000,,RUR,Кемерово,https://hh.ru/vacancy/111517179,"Управление автомобилем УАЗ Патриот, Соболь, Mitsubishi L200(предоставляется). Перевозка людей, грузов (оборудование, запасные части и т.д.) выполнение работ..."
водитель с личным автомобилем,280000,560000,KZT,Астана,https://hh.ru/vacancy/111537765,Посещение торговых точек.
личный водитель,260000,340000,KZT,Алматы,https://hh.ru/vacancy/110873985,"Выезды по городу по потребностям. Слежение за техническим состоянием автомобиля, поддержка чистоты и порядка."
водитель скорой помощи,90000,90000,RUR,Омск,https://hh.ru/vacancy/110934252,Оказание медикам помощи при загрузке-погрузке пациента в автомобиль скорой медицинской помощи. Выезды на экстренную эвакуацию в ближайший населенный пункт. 
водитель-курьер на грузовом автомобиле компании категории в,2400,2800,BYR,Минск,https://hh.ru/vacancy/111228844,Работа с кассовым аппаратом. – Обеспечение безопасной эксплуатации автомобиля. – Правильное оформление документооборота. – Доставка груза только до подъезда.
водитель,60000,,RUR,Воронеж,https://hh.ru/vacancy/111348605,"Прием заказов на складе, контроль процесса погрузки. Доставка продукции по торговым точкам. Ведение отчетности (доставочные ведомости, путевые листы). "
водитель автомобиля легкового,120000,180000,RUR,Иркутск,https://hh.ru/vacancy/111522005,Управление транспортным средством.
водитель автомобиля,55000,75000,RUR,Москва,https://hh.ru/vacancy/111525156,Транспортное обеспечение выполнения задач учреждения. Содержание автомобиля в тенически исправном состоянии.
"водитель категории в, с, се",5000,,BYR,Гомель,https://hh.ru/vacancy/109460550,
водитель,3000,,BYR,Жодино,https://hh.ru/vacancy/111006634,Перевозка пассажиров на автомобиле компании либо на личном авто.
водитель категории d,90000,200000,RUR,Санкт-Петербург,https://hh.ru/vacancy/111115521,Поддержание ТС в чистоте. Работа по заказам на туристических группах. Следить за техническим состоянием ТС.
водитель категории в,70000,,RUR,Санкт-Петербург,https://hh.ru/vacancy/111218593,"приемка, перевозка, выдача грузов клиентам (10-12 адресов)."
водитель на развоз персонала,63800,,RUR,Ростов-на-Дону,https://hh.ru/vacancy/111240270,Вакансия открыта в связи с расширением и запуском нового направления доставки персонала.
водитель персональный,100000,100000,RUR,Королев (Московская область),https://hh.ru/vacancy/111201193,Обеспечивать своевременную подачу автомобиля в назначенное место и время. Выбирать оптимальный маршрут движения с учетом транспортной ситуации и загруженности автодорог. 
