name,salary_from,salary_to,currency,city,link,discription
персональный водитель,80000,,RUR,Калининград,https://hh.ru/vacancy/111525234,Осуществление физической безопасности руководителя и членов его семьи. Сопровождение на служебном автомобиле бизнес класса руководителя и членов его семьи. 
водитель легкового автомобиля,1500,,BYR,Минск,https://hh.ru/vacancy/111549616,
семейный водитель,150000,,RUR,Москва,https://hh.ru/vacancy/109483230,Сопровождение на автомобиле . Своевременная подача автомобиля в назначенное время. Планирование оптимального маршрута движения. Содержание автомобиля в чистоте и исправном техническом...
водитель,65000,,RUR,Чебоксары,https://hh.ru/vacancy/111532502,"...и управление ТС. - Обслуживание автомобиля только в сервисе без участия <highlighttext>водителя</highlighttext>. - Обеспечение доставки проб строительных материалов, документов. Автомобиль: Лада Веста..."
водитель,350000,,KZT,Алматы,https://hh.ru/vacancy/111432781,Персональный <highlighttext>водитель</highlighttext>.
водитель руководителя,80000,,RUR,Екатеринбург,https://hh.ru/vacancy/111593017,Обеспечение своевременной подачи автомобиля. Осуществление деловых поездок с руководителем. Содержание автомобиля в полной чистоте и технической исправности. Исполнение отдельных поручений...
водитель,2200,,BYR,Минск,https://hh.ru/vacancy/111514833,"Доставка товара (косметика, лекарства) по розничным точкам на автомобиле ""Лада Лагрус"" по маршрутному листу г.Минска. Самостоятельный контроль технического состояния автомобиля."
водитель личный - помощник по хозяйству,70000,100000,RUR,Новосибирск,https://hh.ru/vacancy/111508782,"Обеспечить комфортное и безопасное перемещение руководителя. Обслуживание парка автомобилей (2-3 автомобиля представительского класса) - осуществлять контроль за техническим состоянием, за..."
водитель-экспедитор,2500,,BYR,Минск,https://hh.ru/vacancy/111607213,Перевозка продуктов питания. Развоз по точкам.
водитель категории b,50000,,RUR,Самара,https://hh.ru/vacancy/111487917,"Перевозка руководителя и других сотрудников по служебным делам (город, аэропорт,область). Заблаговременное планирование оптимального маршрута движения с целью быстрого доставления..."
водитель,55000,,RUR,Чебоксары,https://hh.ru/vacancy/111585035,"устранять мелкие неисправности в процессе эксплуатации транспортного средства, не требующие разборки узлов и агрегатов. - соблюдать правила дорожного движения Российской Федерации. - "
офисный водитель,,90000,RUR,Москва,https://hh.ru/vacancy/111609619,"Доставка руководителя мужчины, проживающего в Московском районе, до места назначения. Доставка офисных сотрудников к месту назначения. Выполнение поручений руководителя. "
персональный водитель руководителя,120000,,RUR,Москва,https://hh.ru/vacancy/111607251,"Подача автомобиля к указанному времени и адресу (Мерседес С класс). — Обеспечение безопасности передвижения. — Выполнение служебных, личных поручений руководителя. — "
водитель категории с-международник,3000,5200,BYR,Минск,https://hh.ru/vacancy/111498300,
водитель,8000000,9000000,UZS,Ташкент,https://hh.ru/vacancy/110482711,Выполнять поручение во время. Вовремя быть на рабочем месте.
персональный (семейный) водитель,300000,350000,KZT,Астана,https://hh.ru/vacancy/111319183,"Безопасность: Обеспечение своевременной транспортировки руководителя на работу и с работы, на деловые встречи и мероприятия. Организация поездок для членов семьи..."
семейный водитель,,80000,RUR,Санкт-Петербург,https://hh.ru/vacancy/111537172,"Перевозка членов семьи по необходимым маршрутам (работа, школа, занятия, поездки). Выполнение личных поручений (закупка продуктов, получение посылок, выполнение мелких поручений). "
водитель грузового автомобиля,3500,4500,BYR,Минск,https://hh.ru/vacancy/111384794,Работа на грузовом автомобиле. Скользящий график работы. Вывоз ТБО.
водитель-экспедитор (хундай),500000,501000,KZT,Астана,https://hh.ru/vacancy/111390442,Техобслуживание и мелкий ремонт транспортного средства. Доставка продукции от места производства (а.Акмол 17 км - г.Астана) до клиентов (г. 
водитель автомобиля легкового (межгород),50000,,RUR,Самара,https://hh.ru/vacancy/111478634,Деятельность «Отрадное» незаменима в рамках всего производственного цикла: от разведки местонахождения углеводородов до бурения и капитального ремонта нефтяных и газовых...
водитель микроавтобуса,80000,110000,RUR,Санкт-Петербург,https://hh.ru/vacancy/111595137,Обязанности: развозка производимого товара по Северо-Западному и ближайшим регионам. Выдача сопроводительных документов при отгрузке.
водитель-экспедитор категории в (межгород),140000,,RUR,Санкт-Петербург,https://hh.ru/vacancy/111426422,1-2 погрузки/выгрузки в рамках маршрута. Техническое обслуживание автомобиля осуществляется на специализированной СТО.
персональный водитель руководителя,140000,,RUR,Москва,https://hh.ru/vacancy/111431145,"Управление личным автомобилем представительского класса (своевременная подача авто, составление оптимального маршрута и отслеживание трафика). Обеспечение безаварийного управления личным автопарком семьи..."
водитель персональный (юзао),130000,130000,RUR,Москва,https://hh.ru/vacancy/111559041,Своевременная подача автомобиля и доставка до мест назначения. Выполнение бизнес поручений. Обеспечение безопасного и комфортного передвижения. Выполнение личных поручений руководителя...
водитель,75000,,RUR,Краснодар,https://hh.ru/vacancy/111577779,"Выполнение обязанностей <highlighttext>водителя</highlighttext>. Выполнение поручений, работа с документацией (привезти/отвезти документы), доставка груза. Контроль за состоянием автомобиля. Заполнение путевых листов..."
водитель категории в (г. новосибирск),180000,,RUR,Новосибирск,https://hh.ru/vacancy/111524366,Доставка сборных грузов потребителям на фирменные точки. Содержание автомобиля в технически исправном состоянии.
водитель персональный,130000,,RUR,Москва,https://hh.ru/vacancy/109128031,"Подача автомобиля в установленное руководителем время и место. Сопровождение руководителя, обеспечение комфортного и безопасного передвижения. Выполнение служебных и личных поручений..."
водитель в офис,3500000,4500000,UZS,Ташкент,https://hh.ru/vacancy/111530019,"Обеспечивать своевременную подачу чистого автомобиля. Осуществлять аккуратное вождение автомобиля, обеспечение сохранность жизни и здоровья пассажиров. Доставка и выполнение поручений."
водитель на газель,300000,700000,KZT,Алматы,https://hh.ru/vacancy/111388271,
семейный водитель,120000,130000,RUR,Москва,https://hh.ru/vacancy/111461861,Доставлять членов семьи до необходимой локации (в основном центр). Совершать поездки по поручениям. Контролировать техническое состояние автомобилей. Устранять мелкие неисправности. 
водитель-телохранитель,400000,,KZT,Алматы,https://hh.ru/vacancy/111236108,Безопасное вождение автомобиля. Выполнение ежедневных поручений. Работа личным <highlighttext>водителем</highlighttext>-телохранителем.
водитель семейный (м. молодежная),120000,160000,RUR,Москва,https://hh.ru/vacancy/111602169,"Сопровождение детей руководителя в школу, секции. Выполнение поручений руководителя. Финансовая отчетность. Уход за автопарком."
водитель-экспедитор,90000,,RUR,Чебоксары,https://hh.ru/vacancy/111534204,Контроль за размещением груза. Контроль при оформлении провозной документации. Контроль за техническим состоянием автомобиля.
